time-millis,l_reel_enc,r_reel_enc,d_l,d_r
1580939055972,0,0,0.0,0.0
1580939063352,0,0,0.0,0.0
1580939063383,0,0,0.0,0.0
1580939063412,0,0,0.0,0.0
1580939063652,0,0,0.0,0.0
1580939063681,0,0,0.0,0.0
1580939063982,0,0,0.0,0.0
1580939064012,0,0,0.0,0.0
1580939064042,0,0,0.0,0.0
1580939064282,0,0,0.0,0.0
1580939064311,0,0,0.0,0.0
1580939064343,0,0,0.0,0.0
1580939064581,0,0,0.0,0.0
1580939064612,0,0,0.0,0.0
1580939064642,0,0,0.0,0.0
1580939064882,0,0,0.0,0.0
1580939064912,0,0,0.0,0.0
1580939065212,0,0,0.0,0.0
1580939065512,0,0,0.0,0.0
1580939065542,0,0,0.0,0.0
1580939065812,0,0,0.0,0.0
1580939066444,0,0,0.0,0.0
1580939066472,0,0,0.0,0.0
1580939066502,0,0,0.0,0.0
1580939066562,0,0,0.0,0.0
1580939066742,0,0,0.0,0.0
1580939067042,0,0,0.0,0.0
1580939067342,0,0,0.0,0.0
1580939067372,0,0,0.0,0.0
1580939067972,0,0,0.0,0.0
1580939068272,0,0,0.0,0.0
1580939068301,0,0,0.0,0.0
1580939068572,0,0,0.0,0.0
1580939068603,0,0,0.0,0.0
1580939069202,0,0,0.0,0.0
1580939069502,0,0,0.0,0.0
1580939069802,0,0,0.0,0.0
1580939069832,0,0,0.0,0.0
1580939069862,0,0,0.0,0.0
1580939070103,0,0,0.0,0.0
1580939070132,0,0,0.0,0.0
1580939070432,0,0,0.0,0.0
1580939070732,0,0,0.0,0.0
1580939070761,0,0,0.0,0.0
1580939070792,0,0,0.0,0.0
1580939071033,0,0,0.0,0.0
1580939071063,0,0,0.0,0.0
1580939071092,0,0,0.0,0.0
1580939071333,0,0,0.0,0.0
1580939071362,0,0,0.0,0.0
1580939071392,0,0,0.0,0.0
1580939071662,0,0,0.0,0.0
1580939071692,0,0,0.0,0.0
1580939071722,0,0,0.0,0.0
1580939071962,0,0,0.0,0.0
1580939071993,0,0,0.0,0.0
1580939072263,0,0,0.0,0.0
1580939072293,0,0,0.0,0.0
1580939072322,0,0,0.0,0.0
1580939072562,0,0,0.0,0.0
1580939072592,0,0,0.0,0.0
1580939072892,0,0,0.0,0.0
1580939072923,0,0,0.0,0.0
1580939072952,0,0,0.0,0.0
1580939073192,0,0,0.0,0.0
1580939073223,0,0,0.0,0.0
1580939073493,0,0,0.0,0.0
1580939073522,0,0,0.0,0.0
1580939073553,0,0,0.0,0.0
1580939073792,0,0,0.0,0.0
1580939073822,0,0,0.0,0.0
1580939073853,0,0,0.0,0.0
1580939074101,0,0,0.0,0.0
1580939074128,0,0,0.0,0.0
1580939074152,0,0,0.0,0.0
1580939074422,0,0,0.0,0.0
1580939074452,0,0,0.0,0.0
1580939074482,0,0,0.0,0.0
1580939074728,0,0,0.0,0.0
1580939074754,0,0,0.0,0.0
1580939075023,0,0,0.0,0.0
1580939075053,0,0,0.0,0.0
1580939075083,0,0,0.0,0.0
1580939075353,0,0,0.0,0.0
1580939075382,0,0,0.0,0.0
