Frame;time;X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3
0;0;-0.180618;0.149802;-0.159743;-0.039086;0.150296;-0.347928;0.085621;0.764084;0.075863
1;0.01;-0.179731;0.149818;-0.159161;-0.038237;0.150239;-0.347206;0.086371;0.764374;0.078371
2;0.02;-0.178906;0.149811;-0.158637;-0.037356;0.150188;-0.34662;0.087247;0.764664;0.080828
3;0.03;-0.178171;0.149652;-0.158014;-0.036412;0.150135;-0.346009;0.088232;0.765296;0.083106
4;0.04;-0.177268;0.149736;-0.15747;-0.035564;0.150104;-0.345337;0.088814;0.765545;0.085977
5;0.05;-0.17668;0.149711;-0.156868;-0.034716;0.150145;-0.344669;0.089467;0.765579;0.088579
6;0.06;-0.175925;0.149715;-0.156197;-0.033912;0.150182;-0.344029;0.090357;0.765594;0.091325
7;0.07;-0.174991;0.149817;-0.155674;-0.032999;0.150196;-0.343338;0.091239;0.765832;0.093876
8;0.08;-0.174147;0.149788;-0.15504;-0.032201;0.15016;-0.342742;0.091903;0.765651;0.096737
9;0.09;-0.17326;0.149736;-0.154454;-0.031267;0.150077;-0.342049;0.092629;0.765641;0.0995
10;0.1;-0.172372;0.149752;-0.15378;-0.030471;0.149964;-0.341343;0.093644;0.765798;0.102184
11;0.11;-0.171489;0.149747;-0.153152;-0.029577;0.149976;-0.340686;0.094318;0.765573;0.104913
12;0.12;-0.170649;0.149738;-0.152509;-0.02868;0.149927;-0.339944;0.095303;0.765359;0.107611
13;0.13;-0.169894;0.149726;-0.151864;-0.02783;0.14995;-0.339232;0.096107;0.765168;0.110232
14;0.14;-0.169139;0.149742;-0.151299;-0.026921;0.149852;-0.338506;0.096948;0.765059;0.112996
15;0.15;-0.168277;0.149699;-0.150612;-0.026079;0.14997;-0.338008;0.097745;0.765119;0.115804
16;0.16;-0.167207;0.149734;-0.149825;-0.025212;0.149926;-0.337359;0.098423;0.765239;0.118612
17;0.17;-0.166194;0.149702;-0.14909;-0.024272;0.149927;-0.336621;0.099242;0.765459;0.121527
18;0.18;-0.165159;0.149758;-0.148318;-0.023274;0.149993;-0.335946;0.100035;0.765844;0.124349
19;0.19;-0.164084;0.149703;-0.147551;-0.022397;0.149979;-0.335253;0.100686;0.766129;0.127162
20;0.2;-0.163127;0.149726;-0.146863;-0.021472;0.149956;-0.334554;0.101542;0.766626;0.129988
21;0.21;-0.162137;0.14974;-0.146096;-0.020539;0.149972;-0.333868;0.102218;0.766797;0.132649
22;0.22;-0.161212;0.149737;-0.145372;-0.019641;0.149996;-0.333185;0.102969;0.767018;0.135543
23;0.23;-0.160273;0.149717;-0.144642;-0.018633;0.150026;-0.33235;0.103774;0.767504;0.138227
24;0.24;-0.159316;0.149703;-0.143845;-0.01752;0.149975;-0.331656;0.104747;0.768202;0.141005
25;0.25;-0.158391;0.14974;-0.14316;-0.016513;0.149849;-0.331052;0.105686;0.768856;0.143642
