Frame;time;X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3
0;0.000000;-0.013792;0.795537;-0.005392;-0.262817;0.149606;-0.441182;-0.420167;0.149053;-0.276823
1;0.010000;-0.013768;0.795497;-0.005401;-0.262802;0.149616;-0.441184;-0.420188;0.149013;-0.276834
2;0.020000;-0.013742;0.795481;-0.005458;-0.262798;0.149607;-0.441184;-0.420162;0.149029;-0.276811
3;0.030000;-0.013743;0.795458;-0.005463;-0.262809;0.149618;-0.441205;-0.420177;0.149027;-0.276847
4;0.040000;-0.013751;0.795421;-0.005500;-0.262798;0.149611;-0.441200;-0.420168;0.149038;-0.276818
5;0.050000;-0.013747;0.795385;-0.005521;-0.262805;0.149624;-0.441191;-0.420160;0.149050;-0.276822
6;0.060000;-0.013718;0.795366;-0.005581;-0.262800;0.149610;-0.441191;-0.420170;0.149039;-0.276813
7;0.070000;-0.013707;0.795362;-0.005634;-0.262794;0.149620;-0.441181;-0.420169;0.149028;-0.276828
8;0.080000;-0.013692;0.795355;-0.005692;-0.262809;0.149628;-0.441186;-0.420176;0.149032;-0.276844
9;0.090000;-0.013684;0.795336;-0.005740;-0.262820;0.149616;-0.441184;-0.420260;0.149105;-0.276940
10;0.100000;-0.013640;0.795343;-0.005852;-0.262794;0.149642;-0.441187;-0.420250;0.149112;-0.276915
11;0.110000;-0.013712;0.795358;-0.005813;-0.262817;0.149624;-0.441185;-0.420246;0.149120;-0.276926
12;0.120000;-0.013729;0.795346;-0.005847;-0.262785;0.149640;-0.441189;-0.420169;0.149051;-0.276824
13;0.130000;-0.013740;0.795351;-0.005884;-0.262782;0.149615;-0.441198;-0.420167;0.149055;-0.276806
14;0.140000;-0.013736;0.795301;-0.005944;-0.262789;0.149620;-0.441181;-0.420171;0.149050;-0.276824
15;0.150000;-0.013766;0.795292;-0.005985;-0.262792;0.149637;-0.441171;-0.420147;0.149078;-0.276801
16;0.160000;-0.013785;0.795268;-0.006010;-0.262791;0.149631;-0.441170;-0.420155;0.149066;-0.276821
17;0.170000;-0.013809;0.795261;-0.006045;-0.262787;0.149645;-0.441186;-0.420181;0.149061;-0.276846
