Frame;time;X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3
0;0;1.517467;0.145197;1.789625;1.42515;0.77084;1.375074;1.677469;0.144225;1.628538
1;0.01;1.517434;0.145158;1.789608;1.423414;0.771289;1.373166;1.677499;0.144227;1.628505
2;0.02;1.517466;0.145129;1.789555;1.421671;0.771852;1.371197;1.677505;0.144237;1.628559
3;0.03;1.518189;0.145174;1.789954;1.420011;0.772247;1.369382;1.677542;0.144213;1.628625
4;0.04;1.517455;0.145098;1.789641;1.4182;0.772701;1.367232;1.677503;0.144229;1.628655
5;0.05;1.518187;0.14517;1.789975;1.416354;0.773068;1.365366;1.67747;0.144228;1.628619
6;0.06;1.517483;0.145118;1.78963;1.41467;0.773363;1.36347;1.677445;0.144238;1.628625
7;0.07;1.51748;0.145086;1.789654;1.412954;0.773723;1.361353;1.677552;0.144157;1.62868
8;0.08;1.517492;0.145129;1.789626;1.411081;0.774009;1.359473;1.677526;0.144264;1.628622
9;0.09;1.517488;0.145106;1.789593;1.409584;0.774379;1.357634;1.677657;0.144468;1.628792
10;0.1;1.517401;0.145132;1.789545;1.4081;0.774768;1.355834;1.677596;0.144458;1.628793
11;0.11;1.51748;0.145047;1.789616;1.406292;0.775202;1.35405;1.67748;0.144176;1.628596
12;0.12;1.51747;0.145039;1.789591;1.404824;0.775625;1.352404;1.677598;0.144451;1.628786
13;0.13;1.517468;0.145071;1.789566;1.403511;0.776025;1.350926;1.67763;0.14443;1.628731
14;0.14;1.518139;0.14515;1.789932;1.40202;0.776344;1.349477;1.677682;0.144428;1.628736
15;0.15;1.517495;0.145038;1.789624;1.400363;0.776723;1.347819;1.6776;0.144405;1.628778
16;0.16;1.51745;0.145068;1.78962;1.399075;0.777048;1.346382;1.677609;0.144422;1.628801
17;0.17;1.517484;0.145047;1.789595;1.397738;0.777321;1.345112;1.67765;0.144422;1.628731
18;0.18;1.517445;0.145072;1.789565;1.396403;0.777791;1.343724;1.677591;0.144436;1.628809
19;0.19;1.518113;0.145166;1.789976;1.39483;0.778174;1.342016;1.677631;0.144417;1.628775
20;0.2;1.517431;0.14507;1.789577;1.393541;0.778373;1.340585;1.677628;0.144478;1.628756
21;0.21;1.517441;0.145076;1.789631;1.39233;0.778781;1.339084;1.677613;0.144444;1.62872
22;0.22;1.517403;0.145091;1.789612;1.391186;0.779136;1.337563;1.677572;0.144514;1.628733
23;0.23;1.517455;0.145105;1.789579;1.389893;0.779484;1.336029;1.677656;0.144477;1.628726
24;0.24;1.51815;0.145154;1.789948;1.388637;0.779797;1.334334;1.677618;0.144513;1.628736
25;0.25;1.51747;0.14512;1.789547;1.387536;0.780134;1.332723;1.677622;0.144466;1.628689
26;0.26;1.518139;0.14522;1.789909;1.386426;0.780484;1.331089;1.677648;0.144491;1.628694
27;0.27;1.518165;0.145182;1.789956;1.385337;0.780869;1.329627;1.677642;0.144506;1.628776
28;0.28;1.517487;0.145137;1.78963;1.384137;0.781181;1.327926;1.677654;0.144503;1.628675
29;0.29;1.518193;0.145178;1.789945;1.382866;0.781638;1.3262;1.677676;0.14456;1.628724
30;0.3;1.51813;0.145233;1.78993;1.381849;0.781976;1.324347;1.677607;0.144524;1.628692
31;0.31;1.518148;0.145215;1.789904;1.380798;0.78226;1.322757;1.677657;0.144516;1.628647
32;0.32;1.517466;0.145166;1.789557;1.379713;0.782667;1.321023;1.67766;0.144535;1.62862
33;0.33;1.517481;0.145116;1.78961;1.378402;0.783039;1.319017;1.677635;0.144515;1.628623
34;0.34;1.518134;0.145243;1.789851;1.377391;0.783241;1.31742;1.677693;0.144517;1.628615
35;0.35;1.518169;0.145215;1.789895;1.37643;0.783505;1.315481;1.677586;0.144504;1.628574
36;0.36;1.517508;0.145078;1.789638;1.375485;0.783762;1.313668;1.677676;0.144483;1.62853
37;0.37;1.517514;0.145143;1.789607;1.374427;0.783984;1.311773;1.677619;0.144515;1.628576
38;0.38;1.518125;0.145198;1.790004;1.373309;0.78423;1.309773;1.67762;0.144508;1.628545
39;0.39;1.517458;0.145163;1.789522;1.372273;0.784393;1.307883;1.677594;0.144456;1.628507
40;0.4;1.518136;0.145211;1.789953;1.371402;0.784526;1.305977;1.677606;0.144472;1.628537
41;0.41;1.518137;0.145207;1.789925;1.370454;0.784705;1.30417;1.677568;0.144466;1.628556
42;0.42;1.517451;0.145082;1.789551;1.369392;0.784846;1.302192;1.67763;0.144449;1.628518
43;0.43;1.51749;0.145079;1.789593;1.368366;0.784959;1.300313;1.677665;0.144395;1.628568
44;0.44;1.518128;0.145186;1.789861;1.367342;0.784978;1.298607;1.677613;0.14443;1.6285
45;0.45;1.517504;0.145075;1.789596;1.366464;0.785015;1.296959;1.677624;0.144461;1.62848
46;0.46;1.517423;0.145077;1.789608;1.36566;0.785046;1.295553;1.677631;0.144365;1.628518
47;0.47;1.517486;0.145089;1.789587;1.364668;0.785029;1.294152;1.677584;0.144387;1.628535
48;0.48;1.517461;0.145055;1.789562;1.36372;0.784952;1.292833;1.677598;0.144383;1.628501
49;0.49;1.517433;0.14513;1.789573;1.362785;0.784944;1.291354;1.67763;0.144372;1.628472
50;0.5;1.517466;0.145085;1.789557;1.361895;0.784961;1.28999;1.677571;0.144401;1.628448
51;0.51;1.517485;0.145067;1.789641;1.361212;0.785005;1.288731;1.677624;0.144405;1.628477
52;0.52;1.517424;0.145086;1.789562;1.360621;0.784953;1.287466;1.677609;0.144407;1.628511
53;0.53;1.517456;0.145101;1.789542;1.359844;0.78487;1.286201;1.677629;0.144384;1.628461
54;0.54;1.517483;0.145108;1.789548;1.359142;0.784738;1.284872;1.677606;0.144428;1.628447
55;0.55;1.517438;0.145104;1.789613;1.358421;0.784642;1.283625;1.677663;0.144382;1.628483
56;0.56;1.517453;0.145052;1.789708;1.357802;0.784566;1.282391;1.677593;0.1445;1.628397
57;0.57;1.51745;0.145098;1.789581;1.357087;0.784555;1.281242;1.67766;0.144392;1.62846
58;0.58;1.517494;0.145084;1.789611;1.356513;0.784593;1.280117;1.677603;0.144432;1.628431
59;0.59;1.517524;0.145062;1.789568;1.355939;0.784655;1.278955;1.67762;0.144479;1.628422
60;0.6;1.517386;0.145118;1.789587;1.355282;0.784727;1.277803;1.677605;0.144446;1.628429
61;0.61;1.518101;0.145188;1.78993;1.354543;0.784731;1.276632;1.677614;0.144469;1.628438
62;0.62;1.518154;0.145167;1.789948;1.353953;0.784746;1.275431;1.677631;0.144494;1.628451
63;0.63;1.517494;0.145068;1.789559;1.353427;0.784825;1.274171;1.677599;0.144485;1.6284
64;0.64;1.517475;0.145139;1.78962;1.352869;0.784923;1.27286;1.677648;0.14447;1.628455
65;0.65;1.517442;0.145087;1.789631;1.352225;0.785065;1.271512;1.677647;0.144464;1.628448
66;0.66;1.517474;0.145121;1.789576;1.351719;0.785225;1.270183;1.677642;0.144487;1.628441
67;0.67;1.517456;0.145121;1.789567;1.351244;0.785243;1.268927;1.677626;0.144442;1.62841
68;0.68;1.517455;0.14513;1.789544;1.350767;0.785184;1.267644;1.677603;0.144466;1.628406
69;0.69;1.517455;0.14512;1.789685;1.350165;0.785088;1.266474;1.677649;0.144429;1.628381
70;0.7;1.517522;0.145079;1.789568;1.349768;0.784996;1.265313;1.677603;0.144429;1.628415
71;0.71;1.517464;0.145124;1.789614;1.349464;0.784877;1.264065;1.677623;0.144395;1.62842
72;0.72;1.517469;0.145098;1.789558;1.349171;0.784682;1.262848;1.677582;0.144428;1.628363
73;0.73;1.517494;0.145056;1.789593;1.348903;0.784433;1.261653;1.677629;0.144411;1.628391
74;0.74;1.517434;0.145072;1.789528;1.348588;0.78413;1.260519;1.677625;0.144405;1.628416
75;0.75;1.517491;0.145075;1.789572;1.348333;0.783805;1.259559;1.677617;0.144378;1.628403
76;0.76;1.517466;0.145096;1.789545;1.347934;0.783588;1.258703;1.677608;0.144398;1.628408
77;0.77;1.517488;0.145035;1.789598;1.347568;0.783309;1.257896;1.677585;0.144411;1.628372
78;0.78;1.517456;0.145074;1.789603;1.347228;0.782995;1.257209;1.677583;0.144409;1.628403
79;0.79;1.517472;0.145066;1.789627;1.346714;0.782646;1.256467;1.677595;0.14436;1.628373
80;0.8;1.51746;0.145069;1.789573;1.346264;0.782245;1.255823;1.677559;0.144369;1.62846
81;0.81;1.517428;0.145089;1.789513;1.345828;0.781835;1.255284;1.677518;0.144435;1.628364
82;0.82;1.517407;0.145128;1.789544;1.345389;0.781345;1.254739;1.677649;0.144391;1.628419
83;0.83;1.517455;0.145092;1.789549;1.344998;0.780844;1.254347;1.677551;0.14442;1.62843
84;0.84;1.517494;0.145092;1.789565;1.344608;0.780372;1.253978;1.677645;0.144373;1.628482
85;0.85;1.517462;0.145088;1.789575;1.343717;0.779528;1.255864;1.677603;0.144397;1.628388
86;0.86;1.517458;0.145086;1.789589;1.343297;0.779011;1.255652;1.677612;0.144417;1.628433
87;0.87;1.517524;0.145077;1.789585;1.343334;0.778927;1.25304;1.677583;0.144441;1.628419
88;0.88;1.517467;0.145073;1.78961;1.34296;0.778445;1.252843;1.677621;0.144427;1.628403
89;0.89;1.517531;0.145097;1.789577;1.342449;0.778015;1.251932;1.677615;0.144465;1.628428
90;0.9;1.517478;0.145118;1.789578;1.34211;0.777524;1.251961;1.677607;0.144385;1.628433
91;0.91;1.517501;0.145107;1.78958;1.341778;0.777092;1.252119;1.677671;0.144382;1.628481
92;0.92;1.51753;0.145054;1.789622;1.341391;0.776636;1.25236;1.677664;0.144403;1.628433
93;0.93;1.517523;0.145068;1.789648;1.341112;0.776215;1.252715;1.677621;0.144427;1.628433
94;0.94;1.517525;0.145117;1.789562;1.340826;0.775863;1.253156;1.677694;0.144403;1.628505
95;0.95;1.517511;0.145173;1.789551;1.34061;0.775588;1.253615;1.677695;0.144389;1.628432
96;0.96;1.517497;0.145083;1.789663;1.340217;0.775207;1.257142;1.677637;0.144447;1.628486
97;0.97;1.517479;0.145107;1.789626;1.340145;0.775119;1.257625;1.677641;0.144421;1.628499
98;0.98;1.517499;0.145111;1.789611;1.340736;0.775184;1.257222;1.677646;0.144465;1.628477
99;0.99;1.517472;0.145123;1.789616;1.340752;0.775448;1.256894;1.677659;0.144436;1.628478
100;1;1.518211;0.145145;1.789943;1.34101;0.775619;1.257591;1.677639;0.144466;1.628486
101;1.01;1.51818;0.145208;1.789935;1.341275;0.775897;1.258262;1.677672;0.144449;1.628452
102;1.02;1.51816;0.145152;1.789972;1.341573;0.776295;1.258981;1.677645;0.144421;1.628485
103;1.03;1.51825;0.145151;1.79;1.341897;0.776771;1.259727;1.67765;0.144435;1.628436
104;1.04;1.517522;0.145145;1.789534;1.342214;0.777268;1.260412;1.677686;0.144404;1.62848
105;1.05;1.517526;0.145125;1.789631;1.342617;0.777821;1.261208;1.677631;0.14445;1.628425
106;1.06;1.517511;0.145045;1.789633;1.343012;0.778279;1.26186;1.677638;0.144427;1.628432
107;1.07;1.517509;0.145083;1.78963;1.343518;0.778775;1.262537;1.677662;0.144372;1.628413
108;1.08;1.517496;0.145076;1.789559;1.34408;0.779281;1.263164;1.677612;0.144362;1.62845
109;1.09;1.517519;0.145089;1.789587;1.344797;0.779895;1.263901;1.677645;0.14443;1.628455
110;1.1;1.517478;0.145056;1.789621;1.345713;0.780434;1.264598;1.677669;0.144402;1.628419
111;1.11;1.517525;0.145102;1.78958;1.34656;0.780888;1.265046;1.677637;0.144384;1.628485
112;1.12;1.517447;0.145038;1.789614;1.347496;0.78123;1.265741;1.677634;0.14436;1.628489
113;1.13;1.517529;0.145066;1.789611;1.348332;0.781513;1.266381;1.677641;0.144349;1.628452
114;1.14;1.517493;0.145079;1.789612;1.349173;0.781732;1.267263;1.677564;0.14437;1.628477
115;1.15;1.517547;0.145052;1.789627;1.349982;0.781891;1.268194;1.677612;0.144399;1.628444
116;1.16;1.517491;0.145067;1.789662;1.350621;0.78195;1.269297;1.677606;0.144395;1.628455
117;1.17;1.517501;0.145099;1.789591;1.35125;0.781924;1.270729;1.677602;0.144397;1.62845
118;1.18;1.517525;0.145119;1.789532;1.35177;0.781781;1.272151;1.677641;0.144406;1.628434
119;1.19;1.517505;0.145095;1.789656;1.352399;0.781598;1.273934;1.677711;0.14444;1.628489
120;1.2;1.518216;0.145194;1.78999;1.352954;0.781446;1.275646;1.677662;0.144409;1.628431
121;1.21;1.517495;0.145145;1.789557;1.35351;0.781303;1.277452;1.677627;0.144429;1.628499
122;1.22;1.517483;0.145161;1.789531;1.354097;0.781117;1.279386;1.67766;0.144427;1.628448
123;1.23;1.517453;0.145151;1.789575;1.354758;0.780896;1.281334;1.677644;0.144456;1.628532
124;1.24;1.517501;0.14515;1.789538;1.355399;0.780638;1.283229;1.677574;0.144488;1.628464
125;1.25;1.517473;0.14512;1.78966;1.356046;0.78034;1.285086;1.67769;0.144486;1.628491
126;1.26;1.517477;0.145161;1.789567;1.356877;0.780236;1.286825;1.677694;0.144482;1.628493
127;1.27;1.517462;0.145148;1.789605;1.357611;0.780052;1.288772;1.677671;0.144517;1.62855
128;1.28;1.517552;0.145108;1.789639;1.358343;0.779823;1.290585;1.677659;0.144505;1.628461
129;1.29;1.518194;0.145239;1.789947;1.359147;0.779464;1.29249;1.677652;0.144541;1.6285
130;1.3;1.517529;0.145123;1.789583;1.359913;0.779202;1.294237;1.677678;0.144499;1.628504
131;1.31;1.517525;0.145141;1.789587;1.360608;0.779094;1.295836;1.677633;0.144485;1.62848
132;1.32;1.518242;0.145171;1.789945;1.361352;0.778857;1.297646;1.677648;0.144539;1.628474
133;1.33;1.517523;0.145166;1.789593;1.362135;0.77871;1.299532;1.677693;0.144554;1.628439
134;1.34;1.517439;0.145136;1.789627;1.362943;0.778463;1.30138;1.677686;0.144503;1.628503
135;1.35;1.517485;0.145167;1.789629;1.363782;0.778212;1.303403;1.677622;0.144489;1.628499
136;1.36;1.517507;0.145169;1.789533;1.364622;0.777963;1.305122;1.677674;0.144473;1.628483
137;1.37;1.517533;0.145159;1.789564;1.365288;0.777617;1.307116;1.677668;0.144456;1.628536
138;1.38;1.517494;0.145144;1.789659;1.365919;0.777266;1.30909;1.677649;0.144466;1.628512
