Frame;time;X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3
0;0.000000;-0.428134;0.149122;-0.279280;-0.264046;0.149517;-0.436970;-0.007651;0.782518;0.000271
1;0.010000;-0.428122;0.149105;-0.279263;-0.264073;0.149523;-0.436997;-0.007670;0.782429;0.000744
2;0.020000;-0.428125;0.149119;-0.279259;-0.264074;0.149509;-0.436992;-0.007689;0.782334;0.001221
3;0.030000;-0.428140;0.149097;-0.279259;-0.264069;0.149495;-0.436974;-0.007651;0.782230;0.001706
4;0.040000;-0.428126;0.149104;-0.279261;-0.264038;0.149511;-0.436977;-0.007543;0.782016;0.002247
5;0.050000;-0.428108;0.149102;-0.279256;-0.264070;0.149497;-0.436994;-0.007312;0.781841;0.002832
6;0.060000;-0.428128;0.149113;-0.279279;-0.264077;0.149523;-0.437016;-0.007029;0.781665;0.003437
7;0.070000;-0.428167;0.149107;-0.279303;-0.264094;0.149509;-0.437030;-0.006621;0.781452;0.004121
8;0.080000;-0.428177;0.149094;-0.279275;-0.264096;0.149506;-0.437019;-0.006141;0.781299;0.004732
9;0.090000;-0.428164;0.149091;-0.279292;-0.264078;0.149501;-0.436997;-0.005585;0.781199;0.005447
10;0.100000;-0.428126;0.149108;-0.279287;-0.264055;0.149514;-0.436992;-0.004959;0.781073;0.006234
11;0.110000;-0.428129;0.149110;-0.279281;-0.264057;0.149500;-0.437000;-0.004332;0.780938;0.007013
12;0.120000;-0.428129;0.149112;-0.279266;-0.264055;0.149509;-0.436995;-0.003704;0.780843;0.007795
13;0.130000;-0.428146;0.149099;-0.279254;-0.264085;0.149514;-0.437018;-0.002963;0.780673;0.008735
14;0.140000;-0.428138;0.149104;-0.279284;-0.264099;0.149524;-0.437007;-0.002158;0.780477;0.009705
15;0.150000;-0.428143;0.149110;-0.279295;-0.264084;0.149520;-0.437018;-0.001344;0.780221;0.010781
16;0.160000;-0.428139;0.149111;-0.279274;-0.264061;0.149522;-0.436997;-0.000406;0.779967;0.011766
17;0.170000;-0.428145;0.149112;-0.279277;-0.264042;0.149529;-0.436996;0.000368;0.779756;0.012886
18;0.180000;-0.428137;0.149103;-0.279267;-0.264074;0.149530;-0.437008;0.001270;0.779571;0.013963
19;0.190000;-0.428130;0.149123;-0.279284;-0.264081;0.149523;-0.437007;0.002226;0.779322;0.015197
20;0.200000;-0.428116;0.149125;-0.279271;-0.264078;0.149529;-0.437017;0.003177;0.779107;0.016340
21;0.210000;-0.428094;0.149121;-0.279273;-0.264058;0.149536;-0.437007;0.004190;0.778918;0.017405
22;0.220000;-0.428116;0.149109;-0.279271;-0.264061;0.149536;-0.437005;0.005166;0.778770;0.018421
23;0.230000;-0.428134;0.149121;-0.279269;-0.264036;0.149527;-0.436972;0.006184;0.778695;0.019494
24;0.240000;-0.428139;0.149113;-0.279252;-0.264058;0.149526;-0.436990;0.007221;0.778610;0.020628
25;0.250000;-0.428148;0.149131;-0.279256;-0.264047;0.149535;-0.437009;0.008287;0.778555;0.021731
