time,d_l,d_r,llen,rlen,left_gps_x,left_gps_y,left_gps_z,right_gps_x,right_gps_y,right_gps_z,subject_x,subject_y,subject_z,v_r,v_l
64,0.0,0.0,0.48489948880132505,0.4958422911735149,-0.29302514493380166,0.07990893578473596,-0.38634670786265396,-0.4271600541736969,0.07990626233317036,-0.25178138500398534,0.0,0.06,0.0,0,0
128,0.011732980023550887,0.01147269373566634,0.49663246882487594,0.5073149849091813,-0.2930197385089672,0.07987914889778994,-0.3863419210628072,-0.42715464777318257,0.0798774885437952,-0.251776598212067,0.008377555910807761,0.06,0.008377574284877495,0.23005673759217227,0.23005673759217227
192,0.023229060520379985,0.02272495480394937,0.508128549321705,0.5185672459774643,-0.2928417575874462,0.07986778993103558,-0.3861648456196103,-0.42697667932523153,0.07986669507591185,-0.25159953519675465,0.016754964829541225,0.06,0.016755111821615522,0.45754015324329356,0.45754015324329356
256,0.034334868466777246,0.033604958135627305,0.5192343572681023,0.5294472493091422,-0.29238216909653986,0.07986361425764536,-0.3857068325888384,-0.4265171178313688,0.07986269703599737,-0.2511415490753574,0.02513207976670521,0.06,0.0251325758622358,0.6773982660240454,0.6773982660240454
320,0.045048130843816425,0.044108825112590455,0.5299476196451415,0.5399511162861054,-0.29163984823541117,0.07986203121646154,-0.38496691104098785,-0.425774834505253,0.07986115702983901,-0.25040166494220817,0.03350875373796272,0.06,0.03350992965908245,0.8895695595640687,0.8895695595640687
384,0.05536788917975888,0.054234182802629094,0.5402673779810839,0.550076473976144,-0.29061459941727397,0.07986139160158767,-0.3839449462306364,-0.42474963199165927,0.07986052783991435,-0.24937974628829424,0.041884839766713915,0.06,0.04188713646498317,1.0940207198238796,1.0940207198238796
448,0.06529354056750125,0.06397918389989704,0.5501930293688263,0.559821475073412,-0.2893064527182584,0.07986111868888991,-0.3826409849462161,-0.423441539392683,0.07986026188041766,-0.24807583893094784,0.050260190886674945,0.06,0.05026415953341042,1.2907272446739828,1.2907272446739828
512,0.07482454394655014,0.07334218720936486,0.5597240327478752,0.5691844783828798,-0.2877154441692518,0.07986099789633194,-0.381055067062231,-0.42185059189815666,0.07986015223417203,-0.2464899819062748,0.05863466014445667,0.06,0.058640962118642656,1.4796673115591499,1.4796673115591499
576,0.08396038024812913,0.0823216964527212,0.5688598690494542,0.5781639876262361,-0.2858415879027964,0.07986094060998128,-0.3791872078027563,-0.4199768025821313,0.07986011331803064,-0.2446221893832416,0.06700810060214296,0.06,0.06701750747592544,1.6608207670085031,1.6608207670085031
640,0.09270056216819034,0.09091635296758266,0.5776000509695154,0.5867586441410976,-0.2836848869900409,0.07986090739362092,-0.37703741098549987,-0.41782017301845187,0.07986010815593264,-0.24247246368703884,0.07538036533986907,0.06,0.0753937588616327,1.8341691513577298,1.8341691513577298
704,0.10104464004782676,0.09912492766236353,0.5859441288491518,0.5949672188358784,-0.28124534177411353,0.07986088018027546,-0.374605677768674,-0.41538070145146705,0.07986012124352246,-0.24004080388380378,0.08375130745839925,0.06,0.08376967953342783,1.9996956771019028,1.9996956771019028
768,0.108992200726311,0.10694630825389445,0.593891689527636,0.6027885994274094,-0.2785229527283595,0.07986085050833003,-0.371892009525033,-0.41265838553012496,0.0798601467304739,-0.2373272085309107,0.09212078008170439,0.06,0.09214523275042491,2.1573850898020543,2.1573850898020543
832,0.11654286381761436,0.11437948572752749,0.6014423526189394,0.6102217769010424,-0.27551772094753785,0.07986081418126431,-0.36889640828476833,-0.40965322271802573,0.07986018287432223,-0.23433167603897936,0.1004886363595391,0.06,0.1005203817733499,2.3072234954514186,2.3072234954514186
896,0.12369627786852022,0.12142354217118773,0.6085957666698453,0.6172658333447026,-0.27222964809423167,0.07986076893732848,-0.36561887661565906,-0.40636521021973837,0.07986022943936792,-0.23105420453199782,0.1088547294700182,0.06,0.10889508986470169,2.4491982003970794,2.4491982003970794
960,0.13047628686689383,0.12810147739235506,0.6153757756682189,0.62394376856587,-0.26867595689741186,0.07986070497432185,-0.3620765829560287,-0.4028115648335215,0.07986027759587988,-0.22751195653649886,0.11721891262219297,0.06,0.11726932028891332,2.583777642592489,2.583777642592489
1024,0.13696555375008246,0.13449439743244646,0.6218650425514075,0.6303366886059614,-0.26491574898038595,0.07986062493116908,-0.3583284397877611,-0.39905138182845024,0.07986032775265012,-0.2237638382004158,0.12558103905862672,0.06,0.12564303631251314,2.7125995118252892,2.7125995118252892
1088,0.14318140212962438,0.1406190647670406,0.6280808909309494,0.6364613559405555,-0.26096154467163785,0.07986054305913047,-0.3543869270937292,-0.39509717836647446,0.07986039153972387,-0.21982232635021404,0.1339409620579698,0.06,0.13401620120428595,2.83600466896665,2.83600466896665
1152,0.14913515083579254,0.1464863600088862,0.6340346396371176,0.6423286511824011,-0.2568215738897701,0.07986045930978167,-0.3502602479378152,-0.39095718144531594,0.07986046532983557,-0.21569562113825635,0.14229853493753378,0.06,0.14238877823543397,2.9542151084467876,2.9542151084467876
1216,0.15483754909614822,0.15210663627871995,0.6397370378974733,0.6479489274522349,-0.2525036508584704,0.07986037327644,-0.34595619053753696,-0.3866392031152075,0.07986054371002915,-0.21139150861560357,0.15065361105586544,0.06,0.15076073067973816,3.067441853748682,3.067441853748682
1280,0.1602989128435861,0.1574898500890543,0.6451984016449112,0.6533321412625692,-0.2480152725707832,0.07986028699896827,-0.34148222637791215,-0.38215073948953343,0.07986062232130989,-0.20691745939050035,0.1590060438153195,0.06,0.15913202181371913,3.1758876293264042,3.1758876293264042
1344,0.16552914141644115,0.16264557468219193,0.6504286302177662,0.6584878658557068,-0.2433636318122567,0.07986020414308757,-0.33684552321483036,-0.37749898418580563,0.07986069725429483,-0.2022806420482321,0.16735568666463096,0.06,0.1675026149167985,3.279747160986331,3.279747160986331
1408,0.1705377316038622,0.16758301109080959,0.6554372204051873,0.6634253022643245,-0.23855562811405498,0.07986012913108984,-0.33205295604967805,-0.3726908395787239,0.0798607645295562,-0.19748793442472223,0.17570239310148633,0.06,0.1758724732714596,3.379207426946718,3.379207426946718
1472,0.1753337898051851,0.1723109921059614,0.6602332786065102,0.6681532832794763,-0.23359787701478174,0.07986006660624925,-0.3271111168052967,-0.36773292233737703,0.07986082004654751,-0.19254592956975042,0.18404601667509424,0.06,0.18424156016340879,3.4744478191114654,3.4744478191114654
1536,0.179926428844831,0.17683826861406443,0.6648259176461561,0.6726805597875793,-0.22849699263490342,0.07986002082713185,-0.32202659718572463,-0.3626317716776096,0.07986085958853982,-0.18746114452249138,0.19238641098875514,0.06,0.19260983888173652,3.5656469745889545,3.5656469745889545
1600,0.18432582736772085,0.18117469112748702,0.6692253161690459,0.6770169823010019,-0.2232603386485637,0.07985999550021057,-0.31680674400647757,-0.35739469940834395,0.0798608792703543,-0.1822408744006073,0.20072342970242973,0.06,0.2009772727190782,3.653005184952079,3.653005184952079
1664,0.18853984334086837,0.18532798876827455,0.6734393321421934,0.6811702799417895,-0.21789362116219585,0.07985999410701648,-0.3114572540372125,-0.3520274739281573,0.07986087673910804,-0.17689087806839798,0.20905692653530691,0.06,0.2093438249717753,3.7366783210914294,3.7366783210914294
1728,0.19257596497657137,0.18930557905396944,0.6774754537778964,0.6851478702274844,-0.21240228224943453,0.07986001843357557,-0.30598355581296344,-0.34653562906710467,0.07986085039745575,-0.17141667552364986,0.2173867552683702,0.06,0.2177094589400364,3.816815440305408,3.816815440305408
1792,0.19644136225091413,0.19311459647656953,0.6813408510522392,0.6889568876500844,-0.20679153783155185,0.07986006844960832,-0.300390845939413,-0.3409244866812755,0.07986079985455145,-0.16582356896487338,0.22571276974696333,0.06,0.22607413792809808,3.893559587274837,3.893559587274837
1856,0.2001429279105511,0.1967619034529388,0.6850424167118762,0.6926041946264537,-0.20106640768290898,0.0798601421342035,-0.29468411815237805,-0.33519916612789913,0.07986072619545748,-0.16011665138720188,0.23403482388335484,0.06,0.23443782524438594,3.9670483136348995,3.9670483136348995
1920,0.20368737585878616,0.20025394946280722,0.6885868646601112,0.6960962406363221,-0.19523178345277548,0.07986023523801214,-0.28886823531246725,-0.3293644822993625,0.07986063196450807,-0.15430070914075888,0.2423527716593011,0.06,0.2428004842016756,4.037413253215934,4.037413253215934
1984,0.20708110497829602,0.2035968942558462,0.6919805937796211,0.6994391854293611,-0.18929232379665079,0.07986034213898165,-0.2829478398352041,-0.323425029151292,0.07986052181100643,-0.14838032015005603,0.2506664671286084,0.06,0.25116207811725344,4.104779992341422,4.104779992341422
2048,0.21033024745696416,0.20679672370744223,0.6952297362582892,0.7026390148809571,-0.18325249341420288,0.07986045625941868,-0.27692738462304367,-0.3173852671360924,0.07986040261391406,-0.14235993308416112,0.25897576441969394,0.06,0.25952257031307785,4.1692697116440645,4.1692697116440645
2112,0.21344068539551364,0.20985918138621268,0.6983401741968387,0.7057014725597276,-0.17711657642908055,0.07986057001293959,-0.2708111439599338,-0.31124947568792555,0.07986028267395998,-0.13624381755291187,0.2672805177381446,0.06,0.26788192411593953,4.230998667817263,4.230998667817263
2176,0.2164180619302173,0.21278977533284443,0.7013175507315423,0.7086320665063593,-0.17088868468280294,0.0798606752684787,-0.2646032214378768,-0.30502175889497307,0.07986017106955412,-0.1300360694202382,0.27558058136927605,0.06,0.2762401028576231,4.290078372630617,4.290078372630617
2240,0.2192677384634094,0.21559377269125207,0.7041672272647345,0.711436063864767,-0.16457272759991337,0.07986076392464114,-0.2583075196842698,-0.2987060423222569,0.07986007687140936,-0.12374060740222066,0.28387580968068876,0.06,0.28459706987506755,4.346615111546615,4.346615111546615
2304,0.22199472228464168,0.21827636714823412,0.7068942110859667,0.714118658321749,-0.1581723677532037,0.07986082805199998,-0.2519276834695481,-0.2923061991010955,0.07986000780531988,-0.11736128615111457,0.2921660571248232,0.06,0.2929527885105267,4.400710894328758,4.400710894328758
2368,0.22460405072774992,0.22084247653031525,0.709503539529075,0.7166847677038302,-0.1516912966336857,0.07986086149256061,-0.24546737040150485,-0.2858259066078346,0.07985997042990756,-0.11090174921136224,0.3004511782415141,0.06,0.3013072221117309,4.4524652725806515,4.4524652725806515
2432,0.22710059515221404,0.22329668345757486,0.7120000839535391,0.7191389746310898,-0.14513308377516254,0.079860860730877,-0.2389301214996959,-0.27926859561812584,0.07985996938173592,-0.1043653992957254,0.3087310276605422,0.06,0.3096603340320468,4.501972786097889,4.501972786097889
2496,0.22948905159389177,0.22564335625919058,0.7143885403952168,0.7214856474327055,-0.13850116638740106,0.07986082465709511,-0.2323193578367835,-0.2726375347199667,0.07986000607575065,-0.0977554893955106,0.31700546010418534,0.06,0.318012087630639,4.549324078530824,4.549324078530824
2560,0.23177427050355304,0.2278870024335004,0.7166737593048781,0.7237292936070153,-0.13179908293029904,0.07986075472562838,-0.225638615422119,-0.26593608372731736,0.07986007824278911,-0.09107537743817677,0.32527433038976716,0.06,0.32636244627263017,4.594612729370534,4.594612729370534
2624,0.23396129946133848,0.23003235336703126,0.7188607882626635,0.7258746445405462,-0.12503050322985843,0.07986065515585167,-0.21889157584908214,-0.25916775442647766,0.07986018001312514,-0.08432858747118784,0.3335374934322045,0.06,0.33471137332926193,4.6379365282836975,4.6379365282836975
2688,0.23605396511709342,0.2320833737231724,0.7209534539184185,0.7279256648966873,-0.11819822598327534,0.07986053266451405,-0.21208105546908262,-0.25233550387728404,0.07986030215836508,-0.07751809370347508,0.34179480424655323,0.06,0.34305883217805555,4.6793733884026585,4.6793733884026585
2752,0.23805593205023623,0.2340438282910388,0.7229554208515613,0.7298861194645537,-0.11130494727804742,0.07986039706864105,-0.20520974392635716,-0.2454421534512542,0.0798604340717717,-0.070646710666679,0.35004611795055207,0.06,0.35140478620297266,4.718997603412751,4.718997603412751
2816,0.2399708170194399,0.2359172881253036,0.724870305820765,0.7317595792988185,-0.1043533326346159,0.07986026087346604,-0.19828029292015736,-0.238490386459132,0.07986056470716865,-0.06371710779440852,0.3582912897671645,0.06,0.3597491987945757,4.756881051447436,4.756881051447436
2880,0.24180208826386207,0.23770717898684696,0.7267015770651871,0.7335494701603619,-0.09734594230397818,0.0798601373022572,-0.19129524741230414,-0.23148278078775786,0.07986068269430084,-0.05673184762886026,0.36653017502711954,0.06,0.36809203335018853,4.793092672507091,4.793092672507091
2944,0.2435531060256796,0.2394165906250843,0.7284525948270046,0.7352588817985992,-0.09028525740803796,0.07986003847495649,-0.18425707667479124,-0.22442167004550662,0.07986077696595512,-0.049693252397218876,0.3747626291714492,0.06,0.37643325327405724,4.827696966507639,4.827696966507639
3008,0.2452272662412882,0.24104859378612103,0.7301267550426133,0.736890884959636,-0.08317376916780658,0.07985997405219178,-0.17716828704024865,-0.21730936146142432,0.07986083757226312,-0.04260364503019201,0.38298850775402593,0.06,0.3847728219775103,4.860758600274092,4.860758600274092
3072,0.24682755524442834,0.24260631902255686,0.7317270440457534,0.7384486101960718,-0.07601367286167908,0.07985995147250584,-0.17003109727893434,-0.21014820067590145,0.07986085829690052,-0.03546539419217723,0.3912076664440964,0.06,0.39311070287911937,4.892338742669852,4.892338742669852
3136,0.24835678238820702,0.2440928067355546,0.7332562711895321,0.7399350979090695,-0.06880704616719764,0.07985997413031419,-0.16284759296113951,-0.20294047391361075,0.07986083665661962,-0.028280793340082072,0.399419961028814,0.06,0.4014468594048595,4.922495891237617,4.922495891237617
3200,0.24981762084436998,0.24551099335475507,0.734717109645695,0.74135328452827,-0.061555879874995695,0.07986004040805952,-0.1556197540312499,-0.19568839945745775,0.07986077376217837,-0.021052049176323334,0.4076252474157694,0.06,0.40978125498826984,4.95128614199125,4.95128614199125
3264,0.25121263123754545,0.24686369602822605,0.7361121200388705,0.742705987201741,-0.05426209518653374,0.07986014369897591,-0.14834947120475725,-0.18839411713065063,0.07986067437193135,-0.013781270321705619,0.4158233816355186,0.06,0.41811385307061383,4.978763272657715,4.978763272657715
3328,0.2525444104608524,0.2481534859843469,0.7374438992621775,0.7439957771578618,-0.04692764712098371,0.07986027299581741,-0.14103865357611195,-0.1810595956195626,0.07986054668395348,-0.006470379484854946,0.42401421984410925,0.06,0.4264446171010396,5.004978964451993,5.004978964451993
3392,0.2538156180229332,0.24938257340747222,0.7387151068242582,0.7452248645809871,-0.03955452213593218,0.07986041472585304,-0.13368926486753713,-0.17368653384176674,0.07986040225799684,0.0008789462216562266,0.43219761832560416,0.06,0.4347735105367404,5.029981914304054,5.029981914304054
3456,0.25502867007324714,0.2505532726158087,0.7399281588745722,0.7463955637893236,-0.032144521253783254,0.07986055535298323,-0.12630310582894078,-0.16627669548235227,0.07986025627086013,0.008264943263803934,0.44037343349460306,0.06,0.4431004968431147,5.053819426890557,5.053819426890557
3520,0.25618587710031215,0.2516678125968957,0.7410853659016372,0.7475101037704106,-0.024699368193336818,0.07986068133756703,-0.1188819034685524,-0.15883178078463273,0.07986012482987855,0.01568590803229896,0.4485415218987623,0.06,0.45142553949392666,5.07653689697208,5.07653689697208
3584,0.2572891889790466,0.252728422825322,0.7421886777803717,0.7485707139988369,-0.01722053432381003,0.07986077960132242,-0.11142712502973842,-0.15135349301013662,0.07986002219509704,0.023140142139802283,0.45670174022131144,0.06,0.4597486019714664,5.098176118043687,5.098176118043687
3648,0.25834071116228496,0.2537373433138666,0.74324019996361,0.7495796344873815,-0.009709619908487871,0.07986083901475075,-0.10394033242083256,-0.14384355639786633,0.07985995945356708,0.030625960093636884,0.4648539452835679,0.06,0.46806964776670973,5.118780544761517,5.118780544761517
3712,0.25934261697059646,0.25469643055964536,0.7442421057719215,0.7505387217331603,-0.002168273030074705,0.07986085322545515,-0.09642313554297458,-0.13630341921406586,0.07985994440347279,0.03814195115254748,0.4729979940474493,0.06,0.47638864037947887,5.138390475302419,5.138390475302419
3776,0.2602970332526604,0.25560742183218527,0.7451965220539855,0.7514497130057002,0.005401902867442368,0.07986082047459585,-0.08887712045137076,-0.12873443495135217,0.07985997949986316,0.04568677840658818,0.48113374361798333,0.06,0.48470554331860227,5.1570445508484575,5.1570445508484575
3840,0.2612060150127844,0.2564719639626086,0.7461055038141094,0.7523142551361235,0.012999368592600716,0.07986074340955705,-0.08130383267058704,-0.12113788180564523,0.07986006107473516,0.053259156502263504,0.48926105124581454,0.06,0.4930203201020746,5.174779789753929,5.174779789753929
3904,0.2620715243505033,0.25729163921273973,0.7469710131518283,0.7531339303862546,0.020622664062588864,0.07986062899273409,-0.07370476215825582,-0.11351498133791549,0.07986017975006245,0.06085783326189327,0.49737977432970953,0.06,0.5013329342572169,5.1916316356324295,5.1916316356324295
